Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-05-10,103587,105163,102800,102800,65475,0.8847,0.6329,145.87,116.53,29.8,6.77,0.3821,0.298,0.0677,-0.2143,-0.2182,500.29,-385.5,885.78,101.32,103.78,105.01,102.8,-6802,-7929,14731,2.51,1106.05,4.85
2013-05-13,102406,104769,102012,103587,41116,0.8847,0.6833,114.97,116.22,25.86,9.66,0.392,0.2586,0.0966,-0.1429,-0.1805,776.07,-153.18,929.25,101.23,103.87,105.62,103.5,-4992,5565,-583,2.5,1111.7,8.54
2013-05-14,102800,105557,102406,104375,78486,0.8929,0.7252,109.24,114.82,25.73,8.22,0.4085,0.2573,0.0822,-0.1154,-0.148,1046.15,86.68,959.47,101.22,103.88,106.15,104.18,-6167,2772,3016,2.51,1106.6,4.36
2013-05-15,104769,108314,103981,106344,123368,0.9,0.7602,131.25,118.11,32.96,6.65,0.4426,0.3296,0.0665,-0.1563,-0.1521,1402.9,349.93,1052.98,102.2,104.85,107.63,106,-14682,-16874,31279,2.51,1114.5,6.44
2013-05-16,107132,110283,106344,109495,103318,0.9211,0.7923,150.7,124.62,35.8,5.54,0.4811,0.358,0.0554,-0.0541,-0.1031,1917.78,663.5,1254.29,103.96,106.55,110.08,108.95,-10843,-12806,23659,2.51,1116.4,12.08
2013-05-20,108708,109889,105951,109101,69860,0.8975,0.8134,122.61,124.22,30.02,6.26,0.5043,0.3002,0.0626,-0.0811,-0.0921,2267.9,984.38,1283.52,102.36,104.88,108.9,108.41,305,16204,-16130,2.5,1116.8,19.64
2013-05-21,109101,109495,107132,108314,61632,0.8537,0.8214,107.94,120.97,27.01,5.63,0.5244,0.2701,0.0563,-0.1351,-0.1136,2453.58,1278.22,1175.36,100.73,103.23,107.4,107.51,-1447,26718,-25271,2.5,1110.6,7.46
2013-05-22,108708,109101,105951,107920,91361,0.8334,0.8238,86.43,114.06,23.39,9.9,0.5085,0.2339,0.099,-0.1621,-0.1379,2539.66,1530.51,1009.15,99.71,102.12,106.37,106.99,-1063,25159,-24096,2.5,1114,18.44
2013-05-23,109101,109101,106738,108708,46335,0.881,0.8353,83.94,108.04,20.96,8.87,0.4948,0.2096,0.0887,-0.1081,-0.123,2641.02,1752.61,888.41,100,102.18,106.46,107.63,-7405,-4051,13036,2.5,1128.7,19.28
2013-05-24,109101,110283,107526,109495,48961,0.8838,0.845,90.55,104.54,23.65,7.78,0.4961,0.2365,0.0778,-0.0588,-0.0909,2753.12,1952.71,800.41,100.72,102.32,106.57,108.25,-16746,2902,14507,2.5,1127.4,20.79
2013-05-27,110283,110677,108314,110283,26692,0.8685,0.8497,95.16,102.66,22.9,6.94,0.5013,0.229,0.0694,-0.0333,-0.0621,2872.43,2136.66,735.78,101.23,102.34,106.65,108.86,-3077,547,2530,2.5,1122.4,18.86
2013-05-28,110677,111071,108708,111071,53296,0.8649,0.8527,98.95,101.92,22.21,6.17,0.5098,0.2221,0.0617,0,-0.0311,2996.04,2308.53,687.51,101.44,102.36,106.68,109.47,-176,6994,-6818,2.49,1126.9,7.82
2013-05-29,111071,113040,109495,112646,51712,0.8685,0.8559,128.01,107.14,27.58,5.17,0.533,0.2758,0.0517,-0.0345,-0.0328,3184.38,2483.7,700.68,102,103.03,107.38,110.82,-7416,842,6574,2.49,1132.9,14.38
